,note,creation_date,reps
304,Машинное обучение\Обучение без учителя\Обучение без учителя.md,2025-01-10 16:48:43.198394,0
305,Машинное обучение\Предобработка данных\Data leaks.md,2024-11-19 15:30:09.862934,0
306,Машинное обучение\Предобработка данных\Feature engineering.md,2024-11-19 15:06:30.707731,0
307,Машинное обучение\Предобработка данных\Oversampling.md,2024-12-06 15:14:06.116785,0
308,Машинное обучение\Предобработка данных\Undersampling.md,2024-12-06 15:15:31.171896,0
309,Машинное обучение\Предобработка данных\Дизбаланс классов.md,2024-11-19 15:27:37.297523,0
310,Машинное обучение\Предобработка данных\Кросс-валидация.md,2024-11-17 09:33:21.375653,0
311,Машинное обучение\Предобработка данных\Мультиколлинеарность.md,2024-11-19 13:01:50.084458,0
312,Машинное обучение\Предобработка данных\Нормализация признаков.md,2024-11-17 08:43:37.374832,0
313,Машинное обучение\Предобработка данных\Обработка пропусков.md,2024-11-19 15:27:05.984358,0
314,Машинное обучение\Предобработка данных\Очистка выбросов.md,2024-11-19 15:26:28.389187,0
315,Машинное обучение\Предобработка данных\Предобработка данных.md,2024-11-17 09:17:08.853522,0
316,Машинное обучение\Предобработка данных\Работа с категориальными данными.md,2024-11-17 09:18:25.264442,0
317,Машинное обучение\Предобработка данных\Разделение датасета на части (HoldOut).md,2024-11-19 14:44:25.625545,0
318,Машинное обучение\Тестирование алгоритма\K-Fold.md,2025-01-10 10:52:00.323446,0
319,Машинное обучение\Тестирование алгоритма\Тестирование алгоритма.md,2025-01-10 10:51:39.817355,0
